Delay : 2, Total Response Took: 2.037, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.066, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.019, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.032, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.035, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.037, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.054, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.049, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.03 
Delay : 2, Total Response Took: 2.058, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.062, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.024, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.023, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.023, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.025, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.048, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.049, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.035, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.033, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.031, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.035, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.033, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.039, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.036, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.036, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.038, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.041, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.039, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.063, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.047, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.066, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.046, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.037, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.07, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
